title|complexity|area|type|summary|acceptance|status
Add role-based maintainer view toggles|medium|area:web|type:feature|Support maintainer-focused view presets for triage and review cadence.|Toggle persists per user and changes default dashboard modules.|
Add markdown rendering for issue-ready reports|trivial|area:web|type:task|Render issue report markdown preview before export or copy.|Preview matches exported markdown structure and formatting.|
Write reproducibility guarantees documentation|medium|area:docs|type:feature|Document deterministic guarantees and known limits across environments.|Docs include examples and troubleshooting for mismatched replay outcomes.|
Write mutation strategy handbook|medium|area:docs|type:feature|Describe each mutator goal risk coverage and usage guidance.|Handbook links strategy choices to realistic contract failure classes.|
Document wave issue complexity rubric|trivial|area:docs|type:task|Publish rubric for assigning trivial medium and high complexity accurately.|Rubric includes examples from current backlog areas.|
Create maintainer onboarding checklist|trivial|area:docs|type:task|Add checklist for new maintainers joining project operations during wave.|Checklist covers labels triage review SLA and resolution policy.|
Write release process documentation|medium|area:docs|type:feature|Document release tagging changelog and backward compatibility workflow.|Release process can be executed by a new maintainer without guesswork.|
Add contributor debugging playbook|medium|area:docs|type:feature|Document debugging steps for common build test and replay failures.|Playbook maps symptoms to likely fixes with commands.|
Document Security Hardening Assumptions|medium|area:security|type:task|Document the security hardening assumptions covering fuzz input handling and artifact storage.|Documentation exists in README.md, CONTRIBUTING.md, and MAINTAINER_WAVE_PLAYBOOK.md with clear trust boundaries and mitigation controls.|implemented
Add issue dependency mapping guide|trivial|area:docs|type:task|Explain how to track blocking and blocked relationships across issues.|Guide standardizes dependency notation in issue bodies.|
Add backlog freshness review workflow|medium|area:ops|type:feature|Introduce recurring process to retire stale tasks and refine active scope.|Workflow defines cadence owner and stale criteria.|
Implement issue audit script for duplicates|medium|area:ops|type:feature|Create script to detect near-duplicate issue titles and overlapping scope.|Audit report flags possible collisions before issue publishing.|
Add maintainer response-time dashboard query|trivial|area:ops|type:task|Create query set to track first response and review turnaround metrics.|Queries are documented and reusable across wave cycles.|
Add RFC template for high-complexity work|trivial|area:ops|type:task|Provide RFC template required before starting selected high tasks.|Template includes motivation design risks and rollout plan.|
Add weekly triage cadence automation|medium|area:ops|type:feature|Automate recurring triage reminders and issue queue snapshots.|Automation posts summary with pending high-priority actions.|
Add stale label auto-suggestion script|trivial|area:ops|type:task|Create script to suggest stale labels based on inactivity and blockers.|Script outputs proposed labels without mutating issues by default.|
Define escalation policy for blocked PRs|medium|area:ops|type:feature|Set explicit escalation path when contributor PRs are blocked by dependencies.|Policy includes timing thresholds and communication template.|
Add conflict-of-interest maintainer policy|medium|area:security|type:feature|Define conflict-of-interest handling for issue assignment and review decisions.|Policy is published and linked from maintainer playbook.|
Create threat model draft for artifact handling|high|area:security|type:feature|Build threat model for input ingestion artifact storage and report export.|Threat model lists abuse cases mitigations and open risks.|
Add dependency update safety policy|medium|area:security|type:feature|Define policy for dependency updates including review and rollback requirements.|Policy requires changelog review and post-update validation checklist.|
Implement secret scanning guidance for contributors|trivial|area:security|type:task|Document pre-commit secret scanning expectations and remediation steps.|Guide includes recommended tools and response process.|
Add mutation budget limiter per run|medium|area:fuzzer|type:feature|Cap mutation attempts per run to avoid runaway jobs via MutationBudget with configurable budget.|Limiter stops at configured budget and BudgetReport surfaces attempts_made and skipped counts.|implemented
